 fact_id | employee_id | area_id | course_id | manager_id | cohort_id | mentees | mentees_staff_rating | daily_rate | revenue 
---------+-------------+---------+-----------+------------+-----------+---------+----------------------+------------+---------
       1 |           3 |       2 |         3 |          7 |         1 |      13 |                    8 |     439.09 | 5708.17
       2 |           3 |       2 |         3 |          7 |         1 |      13 |                    8 |     439.09 | 5708.17
       3 |          20 |       2 |         3 |          3 |         1 |       9 |                    7 |     400.05 | 5200.65
       4 |          20 |       2 |         3 |          3 |         1 |       9 |                    7 |     400.05 | 5200.65
       5 |          11 |       1 |         3 |          6 |         2 |      12 |                    7 |     548.33 | 7128.29
       6 |          11 |       1 |         3 |          6 |         2 |      12 |                    7 |     548.33 | 7128.29
       7 |          15 |       2 |         3 |          3 |         3 |       9 |                    7 |     200.67 | 2608.71
       8 |          15 |       2 |         3 |          3 |         3 |       9 |                    7 |     200.67 | 2608.71
       9 |           9 |       2 |         2 |          9 |         4 |       7 |                    5 |     199.99 | 2599.87
      10 |           9 |       2 |         2 |          9 |         4 |       7 |                    5 |     199.99 | 2599.87
      11 |          17 |       3 |         2 |          9 |         4 |      11 |                   10 |     700.98 | 9112.74
      12 |          17 |       3 |         2 |          9 |         4 |      11 |                   10 |     700.98 | 9112.74
      13 |          18 |       1 |         2 |          8 |         4 |      18 |                    2 |      12.99 |  168.87
      14 |          18 |       1 |         2 |          8 |         4 |      18 |                    2 |      12.99 |  168.87
      15 |          13 |       1 |         3 |          6 |         5 |      14 |                    5 |     421.89 | 5484.57
      16 |          13 |       1 |         3 |          6 |         5 |      14 |                    5 |     421.89 | 5484.57
      17 |          19 |       2 |         3 |          5 |         5 |       9 |                    5 |     511.45 | 6648.85
      18 |          19 |       2 |         3 |          5 |         5 |       9 |                    5 |     511.45 | 6648.85
      19 |          10 |       2 |         2 |          9 |         6 |      15 |                    4 |      50.67 |  658.71
      20 |          10 |       2 |         2 |          9 |         6 |      15 |                    4 |      50.67 |  658.71
      21 |          14 |       2 |         2 |          9 |         6 |       8 |                    9 |     698.99 | 9086.87
      22 |          14 |       2 |         2 |          9 |         6 |       8 |                    9 |     698.99 | 9086.87
      23 |           6 |       2 |         2 |          7 |         6 |       0 |                    9 |        699 |    9087
      24 |           6 |       2 |         2 |          7 |         6 |       0 |                    9 |        699 |    9087
      25 |          12 |       1 |         3 |          5 |         7 |       2 |                    3 |      89.98 | 1709.62
      26 |          12 |       1 |         3 |          5 |         7 |       2 |                    3 |      89.98 | 1709.62
      27 |           2 |       2 |         3 |          3 |         7 |      10 |                    8 |     400.04 | 5200.52
      28 |           2 |       2 |         3 |          3 |         7 |      10 |                    8 |     400.04 | 5200.52
      29 |           4 |       2 |         3 |          1 |         7 |      10 |                    8 |     665.35 | 8649.55
      30 |           4 |       2 |         3 |          1 |         7 |      10 |                    8 |     665.35 | 8649.55
      31 |           8 |       2 |         3 |          3 |         8 |      11 |                    6 |     370.89 | 4821.57
      32 |           8 |       2 |         3 |          3 |         8 |      11 |                    6 |     370.89 | 4821.57
      33 |           7 |       2 |         3 |          2 |         9 |       0 |                    4 |     150.01 | 1950.13
      34 |           7 |       2 |         3 |          2 |         9 |       0 |                    4 |     150.01 | 1950.13
      35 |          16 |       2 |         3 |          7 |        10 |       0 |                    8 |     600.28 | 7803.64
      36 |          16 |       2 |         3 |          7 |        10 |       0 |                    8 |     600.28 | 7803.64
      37 |          21 |       2 |         1 |          4 |        11 |      11 |                    8 |     588.88 | 7655.44
      38 |          21 |       2 |         1 |          4 |        11 |      11 |                    8 |     588.88 | 7655.44
      39 |           1 |       3 |         3 |          1 |        12 |      13 |                    9 |     578.26 | 7517.38
      40 |           1 |       3 |         3 |          1 |        12 |      13 |                    9 |     578.26 | 7517.38
      41 |           5 |       2 |         1 |          4 |        13 |       6 |                    7 |     550.35 | 7154.55
      42 |           5 |       2 |         1 |          4 |        13 |       6 |                    7 |     550.35 | 7154.55
(42 rows)

